Match Number,Time,Red1,Red2,Red3,Blue1,Blue2,Blue3
f_01,12:36 17-03-2019 +08:00,6579,7433,3881,6386,6304,5584
f_02,12:43 17-03-2019 +08:00,6579,7433,3881,6386,7741,5584
f_03,12:50 17-03-2019 +08:00,6579,7433,3881,6386,7741,5584
qf_01,10:51 17-03-2019 +08:00,5985,6510,5522,4270,4614,6996
qf_02,11:19 17-03-2019 +08:00,5985,6510,5522,4270,4614,6996
qf_03,11:40 17-03-2019 +08:00,4613,5451,5663,6386,6304,5584
qm_01,06:00 16-03-2019 +08:00,6508,7129,7709,6035,6304,6579
qm_10,07:21 16-03-2019 +08:00,7561,7884,4739,3881,6476,4614
qm_11,07:30 16-03-2019 +08:00,5663,5451,7741,7838,5876,2437
qm_12,07:39 16-03-2019 +08:00,6083,7433,7707,6996,3132,7074
qm_13,07:48 16-03-2019 +08:00,7709,7113,7146,5584,6997,5988
qm_14,07:57 16-03-2019 +08:00,4774,6510,4729,7780,5985,6813
qm_15,08:06 16-03-2019 +08:00,5516,6579,7129,7047,5449,4614
qm_16,08:15 16-03-2019 +08:00,7719,6524,7884,5333,6007,5522
qm_17,08:24 16-03-2019 +08:00,6304,7601,6386,7551,7561,7741
qm_18,08:33 16-03-2019 +08:00,6035,5308,3881,4613,6520,6432
qm_19,08:42 16-03-2019 +08:00,4537,6508,5648,6063,6441,7593
qm_02,06:09 16-03-2019 +08:00,5876,7551,7146,6520,4729,4802
qm_20,08:51 16-03-2019 +08:00,7844,6476,4739,6575,7586,7588
qm_21,10:00 16-03-2019 +08:00,5449,4802,2437,6986,4270,5988
qm_22,10:08 16-03-2019 +08:00,7780,6510,7561,5663,5333,5584
qm_23,10:16 16-03-2019 +08:00,7074,7884,6813,6035,6996,5516
qm_24,10:24 16-03-2019 +08:00,7601,4614,6441,7838,4774,5308
qm_25,10:32 16-03-2019 +08:00,5876,7719,7588,6508,6579,7433
qm_26,10:40 16-03-2019 +08:00,6997,6063,3132,6524,4729,3881
qm_27,10:48 16-03-2019 +08:00,4802,6386,5985,6432,6575,7129
qm_28,10:56 16-03-2019 +08:00,6520,7844,7709,6083,7593,7741
qm_29,11:04 16-03-2019 +08:00,6476,7047,7586,7146,4270,5451
qm_03,06:18 16-03-2019 +08:00,5449,6510,4613,6996,6997,4537
qm_30,11:12 16-03-2019 +08:00,7707,4613,5648,2437,6304,7113
qm_31,11:20 16-03-2019 +08:00,4739,4537,5522,6007,7551,6986
qm_32,11:28 16-03-2019 +08:00,6508,3132,6813,5333,7601,5449
qm_33,11:36 16-03-2019 +08:00,6432,4614,7074,5988,7844,7719
qm_34,11:44 16-03-2019 +08:00,7588,7146,7433,6386,7780,6524
qm_35,11:52 16-03-2019 +08:00,7884,5876,6997,5648,5985,4270
qm_36,12:00 16-03-2019 +08:00,6579,7741,4774,5663,4739,4729
qm_37,12:08 16-03-2019 +08:00,5584,4802,7707,4537,7047,3881
qm_38,12:16 16-03-2019 +08:00,7561,5522,5516,7709,4613,7586
qm_39,12:24 16-03-2019 +08:00,6986,6441,6996,5451,6304,6520
qm_04,06:27 16-03-2019 +08:00,5584,6007,7838,7074,5648,7844
qm_40,12:32 16-03-2019 +08:00,6575,6007,6035,7113,6083,6063
qm_41,12:40 16-03-2019 +08:00,7593,7838,7551,6476,6510,5308
qm_42,12:48 16-03-2019 +08:00,7129,6997,7844,2437,6813,7707
qm_43,12:56 16-03-2019 +08:00,5648,6432,5449,6524,5663,7601
qm_44,13:04 16-03-2019 +08:00,4270,3881,7780,4614,7709,6986
qm_45,13:12 16-03-2019 +08:00,4739,5988,6035,6386,6441,3132
qm_46,13:20 16-03-2019 +08:00,7586,6063,5584,7719,6996,7551
qm_47,13:28 16-03-2019 +08:00,7047,7074,6575,6510,7741,5876
qm_48,13:36 16-03-2019 +08:00,5308,7146,5985,5516,7113,6508
qm_49,13:44 16-03-2019 +08:00,6007,2437,6520,4802,4774,7561
qm_05,06:36 16-03-2019 +08:00,7780,5308,3132,6575,7719,5451
qm_50,13:52 16-03-2019 +08:00,7433,5333,5451,4613,7129,7593
qm_51,14:00 16-03-2019 +08:00,4729,4537,7588,7884,7838,6304
qm_52,14:08 16-03-2019 +08:00,5522,6579,6432,6083,6476,7780
qm_53,14:16 16-03-2019 +08:00,3881,6575,6813,7551,5663,5648
qm_54,14:24 16-03-2019 +08:00,7719,5449,5985,7709,6035,7047
qm_55,14:32 16-03-2019 +08:00,5876,7844,6986,5516,7601,6063
qm_56,14:40 16-03-2019 +08:00,6441,7074,4613,7129,7146,7884
qm_57,14:48 16-03-2019 +08:00,2437,5584,7433,4729,5522,5308
qm_58,14:56 16-03-2019 +08:00,7113,6386,7838,6996,4802,6579
qm_59,15:04 16-03-2019 +08:00,5988,5333,6508,7741,4537,6476
qm_06,06:45 16-03-2019 +08:00,6063,7433,5663,5985,7707,5988
qm_60,05:45 17-03-2019 +08:00,4270,7707,6524,6510,4739,6520
qm_61,05:54 17-03-2019 +08:00,5451,7588,4774,6997,7561,6083
qm_62,06:03 17-03-2019 +08:00,3132,7593,6304,6007,7586,4614
qm_63,06:12 17-03-2019 +08:00,7113,7551,6441,5449,7780,7844
qm_64,06:21 17-03-2019 +08:00,7601,6035,6476,7433,5516,4802
qm_65,06:29 17-03-2019 +08:00,6063,6386,2437,7884,7709,6510
qm_66,06:37 17-03-2019 +08:00,6432,5308,4537,6813,4739,5876
qm_67,06:45 17-03-2019 +08:00,4270,4613,7047,3132,6083,5663
qm_68,06:53 17-03-2019 +08:00,7586,6520,6579,6997,7074,5333
qm_69,07:01 17-03-2019 +08:00,7588,7741,6996,5985,3881,6007
qm_07,06:54 16-03-2019 +08:00,6986,6083,7586,6813,6524,6441
qm_70,07:09 17-03-2019 +08:00,6524,5584,6575,4614,5451,6508
qm_71,07:17 17-03-2019 +08:00,7707,6986,7719,4774,7593,7146
qm_72,07:25 17-03-2019 +08:00,7129,5988,5522,5648,7561,4729
qm_73,07:33 17-03-2019 +08:00,6304,7047,4739,7838,7433,6997
qm_74,07:41 17-03-2019 +08:00,5985,5516,7551,6441,2437,5333
qm_75,07:49 17-03-2019 +08:00,7844,3881,6083,6510,6508,6386
qm_76,07:57 17-03-2019 +08:00,7741,6986,7884,3132,5584,6432
qm_77,08:05 17-03-2019 +08:00,7561,6813,7593,6579,4270,6575
qm_78,08:13 17-03-2019 +08:00,5988,7838,7780,4613,6524,5876
qm_79,08:21 17-03-2019 +08:00,4614,5663,6996,7146,5522,6035
qm_08,07:03 16-03-2019 +08:00,7593,7113,7047,5522,7588,7601
qm_80,08:29 17-03-2019 +08:00,4537,6520,7113,7586,7129,7719
qm_81,08:37 17-03-2019 +08:00,7601,4729,6007,7707,5451,7709
qm_82,08:45 17-03-2019 +08:00,6476,6063,4774,6304,5449,7074
qm_83,08:53 17-03-2019 +08:00,4802,5648,6510,5308,7588,5333
qm_09,07:12 16-03-2019 +08:00,4774,5333,5516,6386,6432,4270
sf_01,12:01 17-03-2019 +08:00,6386,6304,5584,5985,6510,5522
sf_02,12:15 17-03-2019 +08:00,6386,6304,5584,5985,6510,5522
sf_03,12:29 17-03-2019 +08:00,6386,6304,5584,5985,6510,5522
