Match Number,Time,Red1,Red2,Red3,Blue1,Blue2,Blue3
f_01,13:00 18-03-2018 +08:00,4613,5584,6050,5663,5985,7128
f_02,13:13 18-03-2018 +08:00,4613,5584,6050,5663,5985,7128
qf_01,10:51 18-03-2018 +08:00,6510,6579,4802,4729,6524,6007
qf_02,11:19 18-03-2018 +08:00,6510,6579,4802,4729,6524,6007
qf_03,11:39 18-03-2018 +08:00,3132,6813,5988,6024,5331,5648
qm_01,06:00 17-03-2018 +08:00,6575,6035,6509,6432,5584,4614
qm_10,07:12 17-03-2018 +08:00,6035,5331,5564,6813,7163,6050
qm_11,07:20 17-03-2018 +08:00,4802,4614,6007,6524,4613,5663
qm_12,07:28 17-03-2018 +08:00,7128,6575,6063,6510,6024,7124
qm_13,07:36 17-03-2018 +08:00,5648,6449,4729,6083,5985,5333
qm_14,07:44 17-03-2018 +08:00,4774,5584,6525,6434,6007,4801
qm_15,07:52 17-03-2018 +08:00,6510,6440,7128,6050,5564,6432
qm_16,08:00 17-03-2018 +08:00,4614,6813,6449,6063,5876,4613
qm_17,08:08 17-03-2018 +08:00,5988,4802,3132,6083,6579,6035
qm_18,08:16 17-03-2018 +08:00,7113,6524,5333,7163,5985,6024
qm_19,08:24 17-03-2018 +08:00,5663,6476,7050,5648,5331,6509
qm_02,06:08 17-03-2018 +08:00,4774,6440,6579,7113,4613,5331
qm_20,08:32 17-03-2018 +08:00,7124,6575,6083,4729,6007,6050
qm_21,08:40 17-03-2018 +08:00,4613,4801,6579,6524,7128,5564
qm_22,08:48 17-03-2018 +08:00,6510,5331,4802,5333,5584,6024
qm_23,10:00 17-03-2018 +08:00,3132,4614,6509,4729,6440,7050
qm_24,10:08 17-03-2018 +08:00,7163,5988,5876,6432,6525,7124
qm_25,10:16 17-03-2018 +08:00,6063,6813,5663,6449,6434,5985
qm_26,10:24 17-03-2018 +08:00,4774,7113,6575,6035,5648,6476
qm_27,10:32 17-03-2018 +08:00,6510,4729,5988,4802,5876,6440
qm_28,10:40 17-03-2018 +08:00,6024,4614,6434,7050,6007,5584
qm_29,10:48 17-03-2018 +08:00,6432,6813,6083,5333,5648,4801
qm_03,06:16 17-03-2018 +08:00,4729,5663,5876,6434,7128,6525
qm_30,10:56 17-03-2018 +08:00,4613,6525,6050,6509,6476,4774
qm_31,11:04 17-03-2018 +08:00,5663,5564,5985,3132,6035,7124
qm_32,11:12 17-03-2018 +08:00,6449,6063,7163,6575,6579,6524
qm_33,11:20 17-03-2018 +08:00,7113,7128,6476,5331,6813,4729
qm_34,11:28 17-03-2018 +08:00,4774,5333,4613,6434,7050,5876
qm_35,11:36 17-03-2018 +08:00,6083,6510,5584,6579,5985,6509
qm_36,11:44 17-03-2018 +08:00,5988,6024,7113,6050,5663,6575
qm_37,11:52 17-03-2018 +08:00,6525,3132,5331,7124,4614,6524
qm_38,12:00 17-03-2018 +08:00,6440,6063,5648,7163,4802,6035
qm_39,12:08 17-03-2018 +08:00,4801,6432,7128,6007,5564,6449
qm_04,06:24 17-03-2018 +08:00,6007,3132,7163,5988,5333,6476
qm_40,12:16 17-03-2018 +08:00,6050,3132,5876,6813,4613,6510
qm_41,12:24 17-03-2018 +08:00,6525,6509,7113,6063,5333,4802
qm_42,12:32 17-03-2018 +08:00,6579,5564,6024,4614,6476,4729
qm_43,12:40 17-03-2018 +08:00,4801,6434,5331,6575,5988,5648
qm_44,12:48 17-03-2018 +08:00,7050,7124,7163,6083,6440,5663
qm_45,12:56 17-03-2018 +08:00,4774,6524,6007,5985,6432,6035
qm_46,13:04 17-03-2018 +08:00,6449,7128,6024,5584,5648,3132
qm_47,13:12 17-03-2018 +08:00,6579,5333,5331,6050,6510,6063
qm_48,13:20 17-03-2018 +08:00,6476,7124,4802,6434,4774,6432
qm_49,13:28 17-03-2018 +08:00,7128,6007,5985,6509,7163,6440
qm_05,06:32 17-03-2018 +08:00,4801,6063,5985,5564,4802,7050
qm_50,13:36 17-03-2018 +08:00,5876,6083,4614,6524,4801,4729
qm_51,13:44 17-03-2018 +08:00,5564,5584,6575,7050,7113,6813
qm_52,13:52 17-03-2018 +08:00,6035,4613,6449,5663,5988,6525
qm_53,14:00 17-03-2018 +08:00,5876,5985,5648,5331,6063,6007
qm_54,06:00 18-03-2018 +08:00,7113,7163,6510,7050,4774,4614
qm_55,06:08 18-03-2018 +08:00,6476,6524,6813,7124,6509,5988
qm_56,06:16 18-03-2018 +08:00,5584,6035,5663,4613,4729,6432
qm_57,06:24 18-03-2018 +08:00,6434,6050,4802,3132,6083,7128
qm_58,06:32 18-03-2018 +08:00,6575,6449,5333,5564,6525,6440
qm_59,06:40 18-03-2018 +08:00,6432,5876,6579,4801,6024,7050
qm_06,06:40 17-03-2018 +08:00,5648,6050,7124,6449,6510,6524
qm_60,06:48 18-03-2018 +08:00,4613,6434,5648,4614,6050,7113
qm_61,06:56 18-03-2018 +08:00,6509,4729,5564,5331,6449,4774
qm_62,07:04 18-03-2018 +08:00,5985,6510,3132,6525,6575,7163
qm_63,07:12 18-03-2018 +08:00,5584,6524,5988,7128,5663,5333
qm_64,07:20 18-03-2018 +08:00,6007,7124,6440,4802,6579,6813
qm_65,07:28 18-03-2018 +08:00,6476,4801,6083,6024,6035,6063
qm_66,07:36 18-03-2018 +08:00,5985,4774,6050,4614,5988,7128
qm_67,07:44 18-03-2018 +08:00,4729,7124,6434,5584,7163,4613
qm_68,07:52 18-03-2018 +08:00,4802,6509,6083,5876,5331,6575
qm_69,08:00 18-03-2018 +08:00,6525,4801,6813,5663,5648,6510
qm_07,06:48 17-03-2018 +08:00,6024,6083,6525,6813,3132,4774
qm_70,08:08 18-03-2018 +08:00,5333,7050,6035,6476,6449,6579
qm_71,08:16 18-03-2018 +08:00,6024,6432,6007,3132,7113,6063
qm_72,08:24 18-03-2018 +08:00,6440,6524,6434,5564,4774,6510
